
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1944"	"0"	"0"	"8.078"	"0.011"	"3.894"	"289.247"	"350.606"	"236.528"	"4.868"	"1.117"	"0.393"	"0"
"1945"	"0.46"	"0"	"0.31"	"3.53"	"0.014"	"349.453"	"383.15"	"125.55"	"132.507"	"0.435"	"0.393"	"0"
"1946"	"0"	"0.707"	"0"	"0"	"0.014"	"530.268"	"210.835"	"136.522"	"55.806"	"0.254"	"25.658"	"1.152"
"1947"	"0"	"0"	"0"	"6.175"	"0.014"	"2.125"	"148.414"	"212.919"	"218.621"	"1.366"	"0.591"	"0"
"1948"	"2.563"	"0"	"0"	"0"	"0.014"	"11.163"	"12.223"	"155.793"	"38.823"	"102.29"	"37.776"	"0"
"1949"	"0"	"1.288"	"0"	"0"	"0.269"	"13.468"	"261.953"	"152.821"	"83.902"	"11.829"	"0.393"	"0"
"1950"	"0"	"0"	"0"	"0"	"0.014"	"4.104"	"606.797"	"22.013"	"48.162"	"0.254"	"0.393"	"0"
"1951"	"0"	"0"	"1.037"	"1.035"	"4.567"	"68.413"	"161.183"	"134.196"	"6.633"	"1.163"	"5.247"	"0"
"1952"	"0"	"0"	"0"	"0"	"0.021"	"145.943"	"241.693"	"30.482"	"21.365"	"1.948"	"0.393"	"0"
"1953"	"0.376"	"0"	"0"	"0.029"	"0.025"	"283.399"	"257.572"	"366.849"	"101.771"	"0.254"	"0.393"	"0"
"1954"	"0.037"	"0.573"	"3.378"	"0"	"0.014"	"86.358"	"344.792"	"269.747"	"175.434"	"0.431"	"0.549"	"1.26"
"1955"	"0"	"0"	"0"	"0"	"0.014"	"41.172"	"23.76"	"130.005"	"201.383"	"37.319"	"0.393"	"0"
"1956"	"0.037"	"0.023"	"0"	"33.1"	"1.145"	"100.918"	"345.884"	"117.781"	"184.176"	"77.912"	"0.926"	"0"
"1957"	"0.188"	"0"	"0"	"6.969"	"4.65"	"242.807"	"240.817"	"213.034"	"14.335"	"2.635"	"80.989"	"1.8"
"1958"	"0"	"0"	"0"	"18.731"	"0.014"	"99.844"	"227.76"	"272.993"	"213.818"	"35.4"	"13.115"	"0.037"
"1959"	"0"	"0"	"0"	"17.124"	"24.381"	"105.43"	"703.914"	"88.421"	"116.585"	"181.366"	"0.43"	"0"
"1960"	"0"	"0"	"14.697"	"0"	"22.712"	"196.013"	"173.749"	"36.143"	"90.483"	"0.974"	"0.393"	"0"
"1961"	"0.028"	"5.378"	"0"	"0"	"0.257"	"43.612"	"262.506"	"104.978"	"143.373"	"11.255"	"0.393"	"0"
"1962"	"0"	"0"	"1.743"	"0.1"	"0.155"	"20.853"	"232.591"	"111.132"	"135.972"	"0.254"	"27.264"	"0.52"
"1963"	"0.231"	"0"	"0.379"	"0"	"0.086"	"38.632"	"250.617"	"244.084"	"44.942"	"36.467"	"50.069"	"0"
"1964"	"0"	"0"	"0"	"0"	"0.616"	"354.071"	"218.078"	"260.412"	"179.867"	"0.254"	"0.393"	"0"
"1965"	"0.509"	"0"	"0"	"0.179"	"0.159"	"1.779"	"305.073"	"209.85"	"259.494"	"1.003"	"5.487"	"0"
"1966"	"0"	"0"	"0"	"0.034"	"0.507"	"122.279"	"155.448"	"12.873"	"77.176"	"0.254"	"0.393"	"0"
"1967"	"0"	"0"	"33.847"	"0.346"	"0.014"	"166.771"	"293.83"	"19.857"	"35.437"	"0.271"	"0.393"	"13.539"
