
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1941"	"16.95"	"18.739"	"20.881"	"23.259"	"24.507"	"24.832"	"22.456"	"22.653"	"22.866"	"23.63"	"20.805"	"18.635"
"1942"	"16.78"	"18.641"	"20.91"	"23.055"	"24.075"	"24.654"	"22.979"	"22.066"	"22.229"	"22.594"	"20.396"	"17.864"
"1943"	"16.645"	"18.472"	"20.915"	"22.666"	"24.384"	"24.214"	"22.674"	"22.137"	"21.962"	"22.858"	"21.36"	"18.679"
"1944"	"17.145"	"17.444"	"20.054"	"22.02"	"24.404"	"24.629"	"22.798"	"22.471"	"22.53"	"22.873"	"20.662"	"18.716"
"1945"	"15.733"	"17.761"	"21.022"	"21.851"	"23.669"	"24.411"	"22.369"	"22.729"	"22.23"	"21.873"	"19.681"	"17.382"
"1946"	"16.86"	"18.796"	"20.175"	"22.97"	"24.076"	"24.271"	"22.668"	"21.465"	"21.868"	"22.931"	"19.991"	"17.941"
"1947"	"16.97"	"18.267"	"20.135"	"22.611"	"24.071"	"24.91"	"23.202"	"22.684"	"21.945"	"21.52"	"20.396"	"18.066"
"1948"	"16.676"	"17.691"	"20.824"	"22.939"	"24.726"	"25.06"	"23.883"	"22.34"	"22.461"	"22.282"	"20.726"	"18.299"
"1949"	"18.281"	"18.074"	"21.272"	"22.821"	"24.079"	"24.905"	"23.229"	"22.601"	"22.585"	"22.613"	"19.975"	"17.849"
"1950"	"17.152"	"16.14"	"19.874"	"22.826"	"23.957"	"24.544"	"21.883"	"22.18"	"22.122"	"22.72"	"19.925"	"17.55"
"1951"	"16.368"	"17.651"	"21.035"	"21.609"	"23.552"	"24.462"	"23.643"	"22.338"	"23.121"	"23.46"	"21.788"	"18.629"
"1952"	"17.397"	"18.592"	"20.571"	"22.765"	"24.543"	"24.48"	"22.554"	"21.736"	"22.145"	"22.755"	"19.741"	"18.66"
"1953"	"16.967"	"19.508"	"21.737"	"22.539"	"23.945"	"24.276"	"23.116"	"21.954"	"22.293"	"23.046"	"20.32"	"18.907"
